"CITY","Date","Log.Trips","time_since_treatment","month","season","Total_Injuries","treatment"
"REVERE",2014-12-01,0,0,12,1,33,0
"SOMERVILLE",2010-01-01,0,-31,1,1,24,1
"SOMERVILLE",2010-02-01,0,-30,2,1,22,1
"SOMERVILLE",2010-03-01,0,-29,3,1,21,1
"SOMERVILLE",2010-04-01,0,-28,4,2,24,1
"SOMERVILLE",2010-05-01,0,-27,5,2,26,1
"SOMERVILLE",2010-06-01,0,-26,6,3,30,1
"SOMERVILLE",2010-07-01,0,-25,7,3,35,1
"SOMERVILLE",2010-08-01,0,-24,8,3,32,1
"SOMERVILLE",2010-09-01,0,-23,9,4,38,1
"SOMERVILLE",2010-10-01,0,-22,10,4,47,1
"SOMERVILLE",2010-11-01,0,-21,11,1,27,1
"SOMERVILLE",2010-12-01,0,-20,12,1,30,1
"SOMERVILLE",2011-01-01,0,-19,1,1,26,1
"SOMERVILLE",2011-02-01,0,-18,2,1,25,1
"SOMERVILLE",2011-03-01,0,-17,3,1,22,1
"SOMERVILLE",2011-04-01,0,-16,4,2,29,1
"SOMERVILLE",2011-05-01,0,-15,5,2,38,1
"SOMERVILLE",2011-06-01,0,-14,6,3,22,1
"SOMERVILLE",2011-07-01,0,-13,7,3,26,1
"SOMERVILLE",2011-08-01,0,-12,8,3,31,1
"SOMERVILLE",2011-09-01,0,-11,9,4,37,1
"SOMERVILLE",2011-10-01,0,-10,10,4,30,1
"SOMERVILLE",2011-11-01,0,-9,11,1,16,1
"SOMERVILLE",2011-12-01,0,-8,12,1,29,1
"SOMERVILLE",2012-01-01,0,-7,1,1,30,1
"SOMERVILLE",2012-02-01,0,-6,2,1,16,1
"SOMERVILLE",2012-03-01,0,-5,3,1,26,1
"SOMERVILLE",2012-04-01,0,-4,4,2,22,1
"SOMERVILLE",2012-05-01,0,-3,5,2,21,1
"SOMERVILLE",2012-06-01,0,-2,6,3,25,1
"SOMERVILLE",2012-07-01,0,-1,7,3,34,1
"SOMERVILLE",2012-08-01,6.66249392241431,0,8,3,31,1
"SOMERVILLE",2012-09-01,6.97541392745595,1,9,4,39,1
"SOMERVILLE",2012-10-01,7.37054545370957,2,10,4,32,1
"SOMERVILLE",2012-11-01,6.99163676296284,3,11,1,23,1
"SOMERVILLE",2012-12-01,0,4,12,1,35,1
"SOMERVILLE",2013-01-01,0,5,1,1,30,1
"SOMERVILLE",2013-02-01,0,6,2,1,23,1
"SOMERVILLE",2013-03-01,0,7,3,1,23,1
"SOMERVILLE",2013-04-01,7.49220304261874,8,4,2,30,1
"SOMERVILLE",2013-05-01,7.98053680761573,9,5,2,30,1
"SOMERVILLE",2013-06-01,8.1758290087146,10,6,3,27,1
"SOMERVILLE",2013-07-01,8.4292359126571,11,7,3,41,1
"SOMERVILLE",2013-08-01,8.64153246567185,12,8,3,34,1
"SOMERVILLE",2013-09-01,8.66380121105233,13,9,4,25,1
"SOMERVILLE",2013-10-01,8.6379052665785,14,10,4,27,1
"SOMERVILLE",2013-11-01,8.09468364869882,15,11,1,28,1
"SOMERVILLE",2013-12-01,2.60268968544438,16,12,1,26,1
"SOMERVILLE",2014-01-01,0,17,1,1,20,1
"SOMERVILLE",2014-02-01,0,18,2,1,22,1
"SOMERVILLE",2014-03-01,0,19,3,1,15,1
"SOMERVILLE",2014-04-01,8.37066339872034,20,4,2,31,1
"SOMERVILLE",2014-05-01,8.72753515089324,21,5,2,30,1
"SOMERVILLE",2014-06-01,8.83898679349679,22,6,3,34,1
"SOMERVILLE",2014-07-01,8.92996487470684,23,7,3,19,1
"SOMERVILLE",2014-08-01,8.88107212420347,24,8,3,32,1
"SOMERVILLE",2014-09-01,8.87255727655487,25,9,4,21,1
"SOMERVILLE",2014-10-01,8.71866356704895,26,10,4,28,1
"SOMERVILLE",2014-11-01,8.20412493257404,27,11,1,34,1
"SOMERVILLE",2014-12-01,2.63905732961526,28,12,1,21,1
"WATERTOWN",2010-01-01,0,0,1,1,11,0
"WATERTOWN",2010-02-01,0,0,2,1,8,0
"WATERTOWN",2010-03-01,0,0,3,1,11,0
"WATERTOWN",2010-04-01,0,0,4,2,13,0
"WATERTOWN",2010-05-01,0,0,5,2,19,0
"WATERTOWN",2010-06-01,0,0,6,3,6,0
"WATERTOWN",2010-07-01,0,0,7,3,18,0
"WATERTOWN",2010-08-01,0,0,8,3,13,0
"WATERTOWN",2010-09-01,0,0,9,4,20,0
"WATERTOWN",2010-10-01,0,0,10,4,8,0
